WellID,Subarea,Operator,County,Completion.Date,Completion.Year,Surface.Latitude,Surface.Longitude,Depth.Total.Driller..ft.,WB.Spacing.Proxy,SPBY.Spacing.Proxy,Deepest_Zone,Between_Zone,Frac.Stages,Treatment.Records,Fluid.Water..Gals.,Acid..Gals.,Gel.x.link..Gals.,Other..Gals.,Proppant...Total..lbs.,Fluid...Total..Gals.,EUR_o..Mstb.,Length,NStages,TotalFluid_Comp,Total_Proppant,Nrecords
308,499,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37625,2003,31.7189,-102.0136,10500,160,40,WFMP,WFMP --> WFMP,3.0,5,256614.0,2000.0,0.0,0.0,96126.0,258614.0,53.48724843,2754,10,1722010.0,896068.0,20
307,497,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37628,2003,31.808059999999998,-102.06962,10950,80,80,ATOKA,SPBR_U --> ATOKA,1.0,1,297696.0,0.0,0.0,0.0,371330.0,297696.0,41.692,2633,1,1042146.0,1024000.0,1
1362,2258,C,PIONEER NATURAL RESOURCES USA INC,UPTON,37629,2003,31.60823,-101.80400999999999,8805,Over 160,40,WFMP,CLFK --> WFMP,3.0,6,0.0,3500.0,176500.0,0.0,473330.0,180000.0,28.968000000000004,2155,1,974232.0,1120000.0,2
1363,2259,C,PIONEER NATURAL RESOURCES USA INC,UPTON,37629,2003,31.585559999999997,-101.78766999999999,8750,160,40,WFMP,CLFK --> WFMP,3.0,6,0.0,5000.0,201474.0,0.0,471200.0,206474.0,18.522000000000002,2257,1,674604.0,929300.0,2
298,484,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37629,2003,31.750709999999998,-101.84015,8970,80,20,WFMP,SPBR_U --> WFMP,4.0,8,0.0,3200.0,191981.0,0.0,472170.0,195181.0,28.54388452,2717,9,923000.0,738188.0,9
309,500,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37632,2003,31.80528,-102.09971999999999,10370,80,160,WFMP,SPBR_L --> WFMP,1.0,2,0.0,5000.0,126000.0,0.0,214000.0,131000.0,59.14113065,2270,1,2382366.0,1070000.0,1
312,504,A,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37633,2003,31.78,-101.9609,10500,40,80,WFMP,SPBR_L --> WFMP,4.0,4,341483.0,0.0,0.0,0.0,199940.0,341483.0,42.39503173,3851,7,525000.0,880000.0,14
908,1527,E,APACHE CORPORATION,REAGAN,37634,2003,31.480159999999998,-101.63969,8218,80,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,260484.0,0.0,482040.0,260484.0,48.13532361,2955,1,1559880.0,951874.0,1
297,483,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37635,2003,31.753529999999998,-101.83149,8907,80,40,WFMP,CLFK --> WFMP,4.0,7,0.0,4500.0,193506.0,0.0,472470.0,198006.0,40.953947899999996,2583,8,808500.0,635152.0,8
910,1529,E,APACHE CORPORATION,REAGAN,37636,2003,31.49233,-101.65236999999999,8225,40,40,SPBR_L,SPBR_U --> SPBR_L,1.0,1,0.0,0.0,140135.0,0.0,284000.0,140135.0,33.27003426,2725,1,1363320.0,929580.0,1
304,492,A,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37637,2003,31.748440000000002,-102.01795,10300,80,40,WFMP,SPBR_U --> WFMP,1.0,1,284844.0,0.0,0.0,0.0,447660.0,284844.0,59.86412198,2561,1,1183098.0,1084000.0,1
1634,501,A,HENRY PETROLEUM LIMITED PARTNERSHIP,MIDLAND,37639,2003,31.8037,-102.0052,10500,40,40,WFMP,SPBR_L --> WFMP,4.0,4,342682.0,0.0,0.0,0.0,194524.0,342682.0,29.684,2068,1,2213862.0,1276000.0,1
924,1550,E,APACHE CORPORATION,REAGAN,37644,2003,31.47219,-101.62448,8243,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,197292.0,0.0,291310.0,197292.0,43.108000000000004,2228,3,1222452.0,1319728.0,6
918,1541,E,APACHE CORPORATION,REAGAN,37645,2003,31.49026,-101.64712,8225,20,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,192696.0,0.0,290230.0,192696.0,21.03030391,2419,4,1282949.0,1231683.0,8
915,1536,E,APACHE CORPORATION,REAGAN,37649,2003,31.47097,-101.64569,8225,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,185517.0,0.0,292190.0,185517.0,27.41962381,1242,1,847224.0,535040.0,2
300,487,E,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37649,2003,31.68201,-101.78707,8800,80,20,WFMP,SPBR_U --> WFMP,3.0,7,0.0,2500.0,195384.0,2500.0,312520.0,200384.0,72.61706848,2614,1,1067220.0,921312.0,1
301,488,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37649,2003,31.68504,-101.81851,8840,80,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,208110.0,0.0,471640.0,213110.0,34.404,3218,5,1383586.0,1458661.0,10
299,486,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37649,2003,31.71408,-101.80575,8840,160,40,WFMP,SPBR_U --> WFMP,3.0,8,0.0,5000.0,210336.0,0.0,471920.0,215336.0,44.628,3050,1,834330.0,757000.0,1
920,1544,E,APACHE CORPORATION,REAGAN,37655,2003,31.45887,-101.63308,8225,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,185136.0,0.0,290180.0,185136.0,40.292,2687,4,1212862.0,1224984.0,7
296,481,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37662,2003,31.725890000000003,-101.85365,9000,80,40,WFMP,SPBR_U --> WFMP,3.0,7,0.0,4000.0,188330.0,0.0,313940.0,192330.0,23.53290545,3517,5,1365224.0,1453723.0,10
289,471,B,ENDEAVOR ENERGY RESOURCES LIMITED PRTS,MIDLAND,37662,2003,31.71,-102.0196,10500,80,40,WFMP,SPBR_U --> WFMP,4.0,8,279818.0,4000.0,0.0,0.0,210542.0,283818.0,34.95435561,2561,1,1078980.0,1276000.0,1
302,490,C,PIONEER NATURAL RESOURCES USA INC,MIDLAND,37662,2003,31.710440000000002,-101.83959,8940,Over 160,40,WFMP,SPBR_U --> WFMP,3.0,7,0.0,4000.0,218736.0,0.0,473510.0,222736.0,42.62807791,2616,1,985992.0,1122000.0,1
919,1543,E,APACHE CORPORATION,REAGAN,37676,2003,31.46139,-101.63917,8238,20,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,189966.0,0.0,291891.0,189966.0,35.07129045,2645,4,1565621.0,1404065.0,8
917,1538,E,APACHE CORPORATION,REAGAN,37684,2003,31.48299,-101.64487,8225,20,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,186984.0,0.0,290030.0,186984.0,34.33198681,2482,1,823536.0,687070.0,2
313,505,A,MIDLAND ENERGY INCORPORATED,MIDLAND,37684,2003,31.78472,-102.04791999999999,10525,80,40,WFMP,SPBR_U --> WFMP,1.0,2,278000.0,5000.0,0.0,0.0,390000.0,283000.0,45.711999999999996,3661,6,2284850.0,1189000.0,7
934,1567,E,APACHE CORPORATION,REAGAN,37684,2003,31.542040000000004,-101.64998,8237,40,40,WFMP,CLFK --> WFMP,1.0,1,0.0,0.0,187216.0,0.0,291500.0,187216.0,36.51621832,3134,4,1253222.0,1406289.0,8
913,1532,E,APACHE CORPORATION,REAGAN,37687,2003,31.47291,-101.63801,8235,40,40,WFMP,SPBR_U --> WFMP,1.0,1,0.0,0.0,181546.0,0.0,290390.0,181546.0,44.50083322,3312,1,1417752.0,1071.0,1
286,465,A,DISCOVERY OPERATING INCORPORATED,MIDLAND,37688,2003,31.772440000000003,-102.04361999999999,10125,40,80,WFMP,SPBR_U --> WFMP,1.0,2,299000.0,4000.0,0.0,0.0,116500.0,303000.0,50.888000000000005,3883,7,572000.0,941000.0,14
315,509,A,MIDLAND ENERGY INCORPORATED,MIDLAND,37689,2003,31.785870000000003,-102.03544000000001,10500,40,80,WFMP,SPBR_U --> WFMP,1.0,2,298000.0,5000.0,0.0,0.0,366000.0,303000.0,54.188,3847,7,538000.0,908000.0,14
