WellID,EUR_o..Mstb.
1,46.01
6,46.01
8,46.01
9,46.01
12,46.01
15,46.01
18,46.01
20,46.01
21,46.01
24,46.01
27,46.01
28,46.01
29,46.01
30,46.01
34,46.01
39,46.01
41,46.01
43,46.01
47,46.01
50,46.01
51,46.01
56,46.01
57,46.01
62,46.01
65,46.01
71,46.01
75,46.01
77,46.01
78,46.01
80,46.01
81,46.01
83,46.01
84,46.01
85,46.01
88,46.01
92,46.01
100,46.01
101,46.01
104,46.01
108,46.01
109,46.01
111,46.01
117,46.01
119,46.01
123,46.01
126,46.01
127,46.01
128,46.01
130,46.01
137,46.01
140,46.01
141,46.01
144,46.01
148,46.01
151,46.01
156,46.01
157,46.01
161,46.01
162,46.01
165,46.01
166,46.01
167,46.01
168,46.01
169,46.01
170,46.01
175,46.01
177,46.01
179,46.01
180,46.01
181,46.01
185,46.01
186,46.01
188,46.01
190,46.01
193,46.01
195,46.01
197,46.01
198,46.01
199,46.01
203,46.01
211,46.01
214,46.01
215,46.01
216,46.01
218,46.01
223,46.01
225,46.01
226,46.01
227,46.01
233,46.01
238,46.01
241,46.01
242,46.01
244,46.01
245,46.01
249,46.01
257,46.01
260,46.01
262,46.01
264,46.01
274,46.01
276,46.01
278,46.01
283,46.01
285,46.01
287,46.01
295,46.01
300,46.01
301,46.01
302,46.01
305,46.01
307,46.01
310,46.01
311,46.01
312,46.01
313,46.01
320,46.01
326,46.01
328,46.01
329,46.01
330,46.01
331,46.01
334,46.01
335,46.01
346,46.01
347,46.01
348,46.01
361,46.01
363,46.01
364,46.01
365,46.01
366,46.01
373,46.01
374,46.01
376,46.01
377,46.01
380,46.01
382,46.01
383,46.01
384,46.01
385,46.01
388,46.01
390,46.01
391,46.01
397,46.01
400,46.01
405,46.01
409,46.01
411,46.01
412,46.01
416,46.01
417,46.01
420,46.01
424,46.01
427,46.01
433,46.01
435,46.01
441,46.01
443,46.01
444,46.01
446,46.01
449,46.01
451,46.01
456,46.01
459,46.01
460,46.01
463,46.01
466,46.01
467,46.01
468,46.01
475,46.01
477,46.01
479,46.01
482,46.01
485,46.01
489,46.01
494,46.01
496,46.01
498,46.01
506,46.01
508,46.01
511,46.01
515,46.01
517,46.01
519,46.01
520,46.01
522,46.01
523,46.01
524,46.01
528,46.01
532,46.01
533,46.01
535,46.01
539,46.01
542,46.01
544,46.01
546,46.01
547,46.01
548,46.01
549,46.01
557,46.01
559,46.01
565,46.01
570,46.01
572,46.01
573,46.01
576,46.01
577,46.01
578,46.01
582,46.01
583,46.01
584,46.01
585,46.01
588,46.01
589,46.01
590,46.01
591,46.01
597,46.01
598,46.01
601,46.01
604,46.01
606,46.01
607,46.01
609,46.01
610,46.01
614,46.01
620,46.01
623,46.01
624,46.01
625,46.01
628,46.01
629,46.01
631,46.01
632,46.01
637,46.01
638,46.01
640,46.01
643,46.01
644,46.01
654,46.01
660,46.01
662,46.01
671,46.01
676,46.01
677,46.01
681,46.01
682,46.01
683,46.01
688,46.01
689,46.01
690,46.01
695,46.01
697,46.01
700,46.01
702,46.01
703,46.01
705,46.01
706,46.01
707,46.01
716,46.01
717,46.01
719,46.01
722,46.01
723,46.01
724,46.01
727,46.01
728,46.01
730,46.01
733,46.01
734,46.01
735,46.01
736,46.01
737,46.01
741,46.01
742,46.01
746,46.01
748,46.01
749,46.01
751,46.01
754,46.01
755,46.01
762,46.01
769,46.01
773,46.01
774,46.01
775,46.01
777,46.01
783,46.01
784,46.01
785,46.01
786,46.01
789,46.01
791,46.01
792,46.01
793,46.01
794,46.01
795,46.01
798,46.01
799,46.01
800,46.01
801,46.01
802,46.01
806,46.01
807,46.01
808,46.01
811,46.01
812,46.01
813,46.01
