WellID,Number,Type,Depth Top,Depth Base,Fluid Amount,Fluid Units,Fluid Type,Propping Agent Amount,Propping Agent Units,Propping Agent Type,Pressure Breakdown,Injection Rate,Additive,Mesh Size,Remark
2,1,FRAC,8213,8429,64176.0,GAL,X-LINKGEL,155000.0,LB,SAND,,,,20/40,BORATE GEL
2,2,ACID,8213,8429,1500.0,GAL,A,0,undefined,undefined,1800,,HCL,,15%
2,3,FLSH,8213,8429,1000.0,GAL,A,0,undefined,undefined,,23.2,,,7.5% ACROSS L SPBY; 2 DRUMS SCALE INHIBITOR IN PAD
2,6,FRAC,7479,7749,68712.0,GAL,X-LINKGEL,180000.0,LB,SAND,,,,20/40,20# BORATE; SPEARHEAD W/1000 GAL 7.5% HCL; 2 DRUMS SCALE INHIBITOR IN PAD
2,4,FLSH,6825,7004,1000.0,GAL,A,0,undefined,undefined,,25.6,,,7.5% ACROSS U SPBY INTERVAL
2,5,FRAC,6825,7004,54558.0,GAL,X-LINKGEL,136330.0,LB,SAND,,24,HCL,20/40,20# BORATE GEL; SPEARHEAD W/500 GAL 7.5% HCL ACID
3,6,FRAC,8198,8392,73542.0,GAL,X-LINKGEL,152000.0,LB,SAND,,,,20/40,30# BORATE
3,7,FLSH,8198,8392,1000.0,GAL,A,0,undefined,undefined,,33,HCL,,7.5% HCL W/2 DRUMS SCALE INHIBITOR IN PAD
3,8,ACID,8198,8392,1500.0,GAL,A,0,undefined,undefined,2050,,HCL,,7.5% HCL
3,4,ACID,7422,7725,1000.0,GAL,A,0,undefined,undefined,,,,,7.5% HCL /W 2 DRUMS SCALE INHIBITOR IN PAD
3,5,FRAC,7422,7725,78834.0,GAL,X-LINKGEL,180000.0,LB,SAND,,,,20/40,20# BORATE
3,1,FRAC,6832,7011,49014.0,GAL,X-LINKGEL,144570.0,LB,SAND,,,,20/40,
3,2,ACID,6832,7011,500.0,GAL,A,0,undefined,undefined,,28,HCL,,7.5% HCL
3,3,FLSH,6832,7011,1000.0,GAL,A,0,undefined,undefined,,29,HCL,,7.5% HCL
5,7,ACID,7924,8142,1500.0,GAL,A,0,undefined,undefined,2200,,,,7.5% HCL
5,8,FRAC,7924,8142,72198.0,GAL,X-LINKGEL,155000.0,LB,SAND,,,,,30# BORATE
5,4,FRAC,7262,7517,80682.0,GAL,X-LINKGEL,180000.0,LB,SAND,,,,20/40,20# BORATE
5,5,FLSH,7262,7517,1000.0,GAL,A,0,undefined,undefined,,28,HCL,,7.5% HCL W/2 DRUMS SCALE INHIBITOR IN PAD
5,6,ACID,7262,7517,1000.0,GAL,A,0,undefined,undefined,,,,,7.5% HCL W/2 DRUMS SCALE INHIBITOR IN PAD
5,1,FRAC,6517,6971,62790.0,GAL,X-LINKGEL,136710.0,LB,SAND,,,,20/40,20# BORATE
5,2,ACID,6517,6971,500.0,GAL,A,0,undefined,undefined,,30,HCL,,7.5% HCL
5,3,FLSH,6517,6971,1000.0,GAL,A,0,undefined,undefined,,31,HCL,,7.5% HCL
7,1,ACID,6604,8178,126000.0,GAL,A,0,undefined,undefined,,,HCL,,7.5%
7,2,FRAC,6604,6888,,,X-LINKGEL,135000.0,LB,SAND,,,GELA,20/40,DETAILS: BRADY SD & AMBOR MAX FF GEL
7,3,FRAC,7176,7480,,,X-LINKGEL,180000.0,LB,SAND,,,GELA,20/40,DETAILS: BRADY SD & AMBOR MAX FF GEL
7,4,FRAC,8014,8178,,,X-LINKGEL,180000.0,LB,SAND,,,GELA,20/40,DETAILS: BRADY SD & AMBOR MAX FF GEL
10,1,ACID,8196,8410,1500.0,GAL,A,0,undefined,undefined,1890,,HCL,,7.5%
10,2,FRAC,8196,8410,65856.0,GAL,X-LINKGEL,130000.0,LB,SAND,,,,20/40,30# BORATE
10,3,FLSH,7328,7650,1000.0,GAL,A,0,undefined,undefined,,,SCIN,,SPOT 7.5%
10,4,FRAC,7328,7650,82601.0,GAL,X-LINKGEL,195000.0,LB,SAND,,,,20/40,20#
10,5,FLSH,6758,6935,1000.0,GAL,A,0,undefined,undefined,,,,,SPOT 7.5%
